TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,06/11/2021
Start Time:,11:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.121
,Minimum:,0.104
,Time of Minimum:,11:42:42
,Date of Minimum:,06/11/2021
,Maximum:,0.149
,Time of Maximum:,11:42:52
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,19:41:56,0.268
06/11/2021,19:41:57,0.263
06/11/2021,19:41:58,0.284
06/11/2021,19:41:59,0.266
06/11/2021,19:42:00,0.301
06/11/2021,19:42:01,0.271
06/11/2021,19:42:02,0.275
06/11/2021,19:42:03,0.309
06/11/2021,19:42:04,0.302
06/11/2021,19:42:05,0.294
06/11/2021,19:42:06,0.3
06/11/2021,19:42:07,0.269
06/11/2021,19:42:08,0.297
06/11/2021,19:42:09,0.265
06/11/2021,19:42:10,0.272
06/11/2021,19:42:11,0.265
06/11/2021,19:42:12,0.251
06/11/2021,19:42:13,0.254
06/11/2021,19:42:14,0.268
06/11/2021,19:42:15,0.272
06/11/2021,19:42:16,0.332
06/11/2021,19:42:17,0.262
06/11/2021,19:42:18,0.291
06/11/2021,19:42:19,0.269
06/11/2021,19:42:20,0.261
06/11/2021,19:42:21,0.26
06/11/2021,19:42:22,0.26
06/11/2021,19:42:23,0.284
06/11/2021,19:42:24,0.293
06/11/2021,19:42:25,0.268
06/11/2021,19:42:26,0.261
06/11/2021,19:42:27,0.297
